dataset,modo,threads,schedule,chunk,block,rep,iters,sse_final,time_ms,median_ms,h2d_ms,kernel_ms,d2h_ms,total_ms
p,omp,4,static,256,NA,5,3,3307.377030,0.868,NA,NA,NA,NA,NA
p,omp,4,static,256,NA,0,NA,NA,NA,0.868,NA,NA,NA,NA
p,omp,8,static,256,NA,1,3,3307.377030,1.110,NA,NA,NA,NA,NA
p,omp,8,static,256,NA,2,3,3307.377030,0.820,NA,NA,NA,NA,NA
p,omp,8,static,256,NA,3,3,3307.377030,0.772,NA,NA,NA,NA,NA
p,omp,8,static,256,NA,4,3,3307.377030,0.882,NA,NA,NA,NA,NA
p,omp,8,static,256,NA,5,3,3307.377030,0.853,NA,NA,NA,NA,NA
p,omp,8,static,256,NA,0,NA,NA,NA,0.853,NA,NA,NA,NA
p,omp,16,static,256,NA,1,3,3307.377030,46.546,NA,NA,NA,NA,NA
p,omp,16,static,256,NA,2,3,3307.377030,46.236,NA,NA,NA,NA,NA
p,omp,16,static,256,NA,3,3,3307.377030,40.977,NA,NA,NA,NA,NA
p,omp,16,static,256,NA,4,3,3307.377030,1.175,NA,NA,NA,NA,NA
p,omp,16,static,256,NA,5,3,3307.377030,39.627,NA,NA,NA,NA,NA
p,omp,16,static,256,NA,0,NA,NA,NA,40.977,NA,NA,NA,NA
p,omp,1,static,1024,NA,1,3,3307.377030,0.132,NA,NA,NA,NA,NA
p,omp,1,static,1024,NA,2,3,3307.377030,0.129,NA,NA,NA,NA,NA
p,omp,1,static,1024,NA,3,3,3307.377030,0.129,NA,NA,NA,NA,NA
p,omp,1,static,1024,NA,4,3,3307.377030,0.138,NA,NA,NA,NA,NA
p,omp,1,static,1024,NA,5,3,3307.377030,0.158,NA,NA,NA,NA,NA
p,omp,1,static,1024,NA,0,NA,NA,NA,0.132,NA,NA,NA,NA
p,omp,2,static,1024,NA,1,3,3307.377030,0.767,NA,NA,NA,NA,NA
p,omp,2,static,1024,NA,2,3,3307.377030,0.751,NA,NA,NA,NA,NA
p,omp,2,static,1024,NA,3,3,3307.377030,1.051,NA,NA,NA,NA,NA
p,omp,2,static,1024,NA,4,3,3307.377030,0.467,NA,NA,NA,NA,NA
p,omp,2,static,1024,NA,5,3,3307.377030,0.680,NA,NA,NA,NA,NA
p,omp,2,static,1024,NA,0,NA,NA,NA,0.751,NA,NA,NA,NA
